meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,detailed_agendas,agendas,parties,url,is_true_gap,notes
1995,ATCM,19,ATCM XIX,wp,17,0,Applicability of developments in the Arctic to the Antarctic,5c,ATCM 5,Chile,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/c/8/4/c841fb001e94acf1c77276af76ee2c1f9070e952eea1b414b92b74d363e770b0/1c8e93f4-232b-4e49-a736-0d660bf90d65-AU-ATADD-3-BB-AQ-484.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,17,1,Applicability of developments in the Arctic to the Antarctic,5c,ATCM 5,Canada | Chile,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/c/8/4/c841fb001e94acf1c77276af76ee2c1f9070e952eea1b414b92b74d363e770b0/1c8e93f4-232b-4e49-a736-0d660bf90d65-AU-ATADD-3-BB-AQ-484.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from previous Rev. 0"
1995,ATCM,19,ATCM XIX,wp,19,0,The need for operational definitions of the terms used in the protocol to the Antarctic Treaty on the protection of the environment,6,ATCM 6,Chile,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/e/d/b/edbbb57f7d7c8da7fac092e818e6f1d8e1ba5585de0eaa03fb23b7040f7790df/83a69a25-efff-444d-875e-d5ad1404457b-AU-ATADD-3-BB-AQ-486.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,20,0,Relation between the protocol on environment protection to the Antarctic Treaty and other international agreements of a global scope,6c,ATCM 6,Chile,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/3/7/4/3742e6c67a866f236bf51620c220d8f5d7b5cdc48200b606ce390d748ff04bcc/00bd35f4-3ea9-4747-8b63-cf2a5234164f-AU-ATADD-3-BB-AQ-487.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,21,0,The Antarctic protected areas systems,12b,ATCM 12,Chile,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/9/7/a/97a05c6ed196098535eef73e043ba8f367faa0896fa40f3a0bc7d79c12d60c93/85e1adf8-c5ee-42ec-840a-2929542c4793-AU-ATADD-3-BB-AQ-488.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,21,1,The Antarctic protected areas systems,12b,ATCM 12,Chile | Norway,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/9/7/a/97a05c6ed196098535eef73e043ba8f367faa0896fa40f3a0bc7d79c12d60c93/85e1adf8-c5ee-42ec-840a-2929542c4793-AU-ATADD-3-BB-AQ-488.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,22,0,Specific environmental protection measures,13,ATCM 13,Chile,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/b/1/5/b15369400ef8c91ca6c7b0101a300d56bef442756667e586d74d2631134cc787/0ecbadf6-1344-43f3-9ee7-b5ceca4823f5-AU-ATADD-3-BB-AQ-489.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,23,0,Waste dump inspection checklist,9b,ATCM 9,Australia,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/5/3/8/538c13439c3282b8a1c70c96c0e7b82cee3a41815ca84c2790c3fe6dba77f5ba/de912917-2f04-4f1d-b7ce-12c981bf1811-AU-ATADD-3-BB-AQ-490.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,24,0,Environmental monitoring progress report to XIXth ATCM,10a,ATCM 10,SCAR | COMNAP,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/e/b/7/eb7e6a554c1d396a66138e8f8ea6fc4be6437c2b88fa6ece8c68adac98a5d51b/8f8835b0-b48d-4371-a6ab-79f5bd9092ac-AU-ATADD-3-BB-AQ-491.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,25,0,Incinerator emissions,10a,ATCM 10,SCAR,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/1/f/d/1fd1de09b226d78edc404e1a3535af6930364849d30e0ba66fb740d95bd46d9c/f18d1fac-37fe-4307-a4a6-0d0415905e43-AU-ATADD-3-BB-AQ-492.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,26,0,Ecosystem matrices,12c,ATCM 12,SCAR,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/d/d/4/dd4340422306c0a29757734a1e2feda6d4349bb86bcf3290d0905402124ecf45/6f5c14d1-444c-43a3-84f1-8e6188edc47d-AU-ATADD-3-BB-AQ-493.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,27,0,Visits to protected areas,12c,ATCM 12,SCAR,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/0/3/e/03e01436cda61fb2a950a91d612df944c0e80edb402f6f353dba213313f3c721/8278d5f2-2eb4-4b0f-886f-4babfaa9d826-AU-ATADD-3-BB-AQ-494.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,28,0,Format of management plans for protected areas,12a,ATCM 12,SCAR,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/5/6/f/56fce31208afc16904ac68789898bba4941e193a7469ecf5ae4c5e42072bfcea/63861cfc-5bcd-4ea4-9101-9d39ef69a023-AU-ATADD-3-BB-AQ-495.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,29,0,Conservation of Antarctic flora and fauna,13c,ATCM 13,Australia,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/0/a/0/0a0e7b91d7197769dab135a6aadf5453a416af1317d23c1902ab3e94d618c6f0/9b64f3aa-c431-4a86-bde0-8315f7ca8061-AU-ATADD-3-BB-AQ-496.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,29,1,Introduction and continued presence of non-native species of animals and plants,13c,ATCM 13,Australia,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/0/a/0/0a0e7b91d7197769dab135a6aadf5453a416af1317d23c1902ab3e94d618c6f0/9b64f3aa-c431-4a86-bde0-8315f7ca8061-AU-ATADD-3-BB-AQ-496.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from previous Rev. 0"
1995,ATCM,19,ATCM XIX,wp,30,0,Liability annex to the protocol on environmental protection in the Antarctic Treaty,6b,ATCM 6,Germany,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/9/1/f/91f62a814d7995caee75eb0d1d54a768b515c377e3c6533475f68a01f56456d9/0dfe0e33-698b-4c9d-92fb-104b7d6441b2-AU-ATADD-3-BB-AQ-497.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,31,0,Report of the TEWG to the XIX ATCM,6a | 7b | 10 | 11 | 12 | 13 | 13 | 17b,ATCM 6 | ATCM 7 | ATCM 10 | ATCM 11 | ATCM 12 | ATCM 13 | ATCM 17,Korea (ROK),https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/8/9/c/89caac351116e46755c3e29302a47cbebfc6be7dbee14ce4476247b83c4dce12/9fdf40dc-878d-40be-95a1-2a596c0be33b-AU-ATADD-3-BB-AQ-498.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | no agenda on WP front page | list of agendas from FR par. 18 | change parties ‘secretariat’ to host country Korea to match ATS database"
1995,ATCM,19,ATCM XIX,wp,32,,,,,,,TRUE,Unremarked-upon gap in the list in list_of_docs_1995.pdf
1995,ATCM,19,ATCM XIX,wp,33,,,,,,,TRUE,Unremarked-upon gap in the list in list_of_docs_1995.pdf
1995,ATCM,19,ATCM XIX,wp,34,,,,,,,TRUE,Unremarked-upon gap in the list in list_of_docs_1995.pdf
1995,ATCM,19,ATCM XIX,wp,35,0,Draft final report of the XIX ATCM,20,ATCM 20,Korea (ROK),https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/4/0/3/403f1a991368640c791a4b4d139d15f7f518d5928c72cb8819dabee9f7c63452/a21c2630-88a0-4bcf-9959-630d8f935bb8-AU-ATADD-3-BB-AQ-502.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from FR par. 233 | change parties ‘secretariat’ to host country Korea to match ATS database"
1998,ATCM,22,ATCM XXII - CEP I,wp,9,0,Translation and Interpretation Services for the Working Group of Legal Experts on Liability,18,ATCM 18,France,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/6/1/b/61b2349c4f172eb182b47a0ce35f8b6e0c63039d39d1faf1c73824a5b6104f62/8df167aa-d1f7-4e6c-8dd9-f302ec77edef-AU-ATADD-3-BB-AQ-568.pdf ,FALSE,"paper_name, paper_revision, agendas from WP front page"
1998,ATCM,22,ATCM XXII - CEP I,wp,28,0,Antarctic Treaty Secretariat,5c,ATCM 5,Argentina,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/2/c/9/2c9301a86dfd59afabbc56d8f70ffd06131d203482d1c47e013f843ae208b4d5/39bb817b-55fb-459f-9ed6-b48ebb3f3ff7-AU-ATADD-3-BB-AQ-569.pdf,FALSE,Pencilled-in list_of_docs_1998.pdf | Found in ATAAD and saved 39bb817b-55fb-459f-9ed6-b48ebb3f3ff7-AU-ATADD-3-BB-AQ-569.pdf
2001,ATCM,24,ATCM XXIV - CEP IV,wp,1,0,Working practices and procedures of the Consultative Meetings and their Working Groups,ATCM 4,ATCM 4,Germany,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,3,0,Inspecciones en el marco del Articulo VII del Tratado Antártico (Inspections under Article VII of the Antarctic Treaty),ATCM 14,ATCM 14,Argentina,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,6,0,"Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty ""Prevention of Damage, Contingency Planning and Liability for Failure to Provide for Emergency Response Action""",ATCM 10,ATCM 10,United States,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,8,0,"Antarctic Protected Areas System: Revised Management Plans for:
- Specially Protected Area No 8 – Dion Islands, Marguerite Bay
- Specially Protected Area No 9 – Green Island, Berthelot Islands
- Site of Special Scientific Interest No 29 – Ablation Point / Ganymede Heights, Alexander Island
- Site of Special Scientific Interest No 31 – Mount Flora, Hope Bay
with attachments (totally: 1+4 docs+10 maps=15)",CEP 4g,CEP 4,United Kingdom,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,17,0,"Chairman's Draft of the Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty ""Liability arising from environmental emergencies""",ATCM 10,ATCM 10,New Zealand,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,18,0,"Status of Recommendations, Measures, Decisions and Resolutions of the ATCM",ATCM 4,ATCM 4,Netherlands,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,27,0,"Russian studies of the Antarctic 2000 under the Subprogram ""Study and Research of the Antarctic""",ATCM 15,ATCM 15,Russian Federation,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,28,0,"Proposal on creating a four-language explanatory glossary of the terms , definitions and abbreviations used in the Antarctic Treaty Documentation",ATCM 20,ATCM 20,Russian Federation,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,30,0,Classification of the Antarctic Zone of the Southern Ocean Based on Ice Navigation Conditions,ATCM 11,ATCM 11,Russian Federation,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,35,0,ATCM Secretariat,ATCM 4,ATCM 4,New Zealand | Italy,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,36,0,Proyecto de Medida para la creación de la Secretaria del Tratado Antartico (Draft Measure for the creation of the Antarctic Treaty Secretariat),ATCM 4,ATCM 4,Argentina | Brazil | Chile | Peru | Uruguay,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2002,ATCM,25,ATCM XXV - CEP V,wp,24,0,CEP and information exchange,CEP 8a,CEP 8,Norway,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
